Industrielaan;1980
Josse Leemanslaan;1990
Maria Groeninckx-De Maylaan ;1980
Frans van Kalkenlaan;1980
Grote Ringlaan;1980
Industrielaan;1980
Paepsemlaan+Gerijlaan;1990
Veeweydekaai;1980
Klein-Eilandstraat;1980
Lenniksebaan;1990
Luizenmolenlaan;1980
Dupuislaan;1980
Bergense Steenweg;1990
Barastraat;2000
Demetskaai;2000
Bracopslaan;1980
Aakaai;1980
Biestebroekstraat;1985
Ninoofsesteenweg;1896
Vilvoordsesteenweg;1980
Lambermontlaan;1981
Vilvoordsesteenweg;1980
Luxemburgstraat;1990
Renaissancelaan;1990
Roodebeeklaan;2000
Sterrenkundelaan ;1980
Vilvoordselaan;1980
Trierstraat;2000
Oudergemlaan ts Schumann en Belliard;2000
de Tyraslaan;1990
Wetstraat;2003
Guldenvlieslaan;1990
Willebroekkaai;1990
Koninklijk Parklaan;1990
Vuurkruisenlaan;2000
Konings Albert II-laan;1990
Triomflaan;1980
Pleinlaan;1980
Galliërslaan;1980
Nerviërslaan;1980
Ijzerlaan;1980
Zaventemstraat;2004
Dikke-Beuklaan;1980
Laarbeeklaan;1980
Kasteellaan;2000
Tervuursesteenweg;1980
Herrmann-Debrouxlaan;2000
Waversesteenweg langs E411;1970
Tervurenlaan;1988
Vorstlaan;1985
Zelliksesteenweg;1990
Plaskylaan;1989
Generaal Wahislaan;1980
Scailquinstraat;2000
Marcel Thirylaan;2000
Vanderveldelaan;1980
Marcel Thirylaan;2000
Paul Hymanslaan;1998
Woluwedal tussen Gewestgrens en Hymanslaan;1980
Orbanlaan;1940
Frankrijkstraat;1990
Jamarlaan;2000
Waterloosesteenweg ts Gewestgrens en Prins van Oranjelaan;1980
Stoeterijdreef;1980
Lorrainedreef;1896
Luttrebruglaan;2000
Brits Tweedelegerlaan ;2000
Solvaylaan;1990
Terhulpse Steenweg;1898
Terhulpse Steenweg;1898
Groene Wandeling ts Stockel en Watermaalse steenweg;2000
Stallestraat tussen Neerstallesteenweg en rotonde;1990
Delleurlaan;1980
Bd Maurice Carème - Theo Lambert;2005
Haachtsesteenweg (Bordet - Witloof & ts Lindestraat en Bordet);2005
De Smet de Nayer;2006
Picardstraat;2006
Goffinlaan;2004
Waterloosesteenweg ts Barrière en Molière;2006
Van Haelen;2008
Vorstlaan tussen Wiener en HD;2006
De Frélaan (tussen Waterloosesteenweg en Elleboutlaan) ;2007
Ducpétiauxlaan;2007
