project_name;construction_year
Poplimontlaan;2014
Claessensstraat;2013
Troonstraat tussen Waverse en Blyckaerts;2014
Gutenbergsquare (GFR 11);2013
Kleine Ring : tussen Sainctelette en Rogier, tussen Schaarbeeksepoort en Madou, tussen Madou en Munthof, tussen Munthof en spoorwegbrug;2012
Graystraat;2014
Houtweg-Bordet-Cicero;2012
Jetselaan - stuk met tram;2012
Leopold II laan;2008
Brusselse Steenweg (fietsbrug);2012
Schumannplein;2014
Paleizenstraat+Masuiplein;2012
Waversesteenweg tussen Troon en Vijverstraat;2010
Vleurgatsesteenweg;2012
Wereldtentoonstellingslaan;2014
Rogierplein;2011
Ruisbroecksesteenweg ;2014
Tweestationsstraat;2012
Jacques Brellaan;2010
Marchantstraat;2008
Lakenselaan/Sermon/Bossaertlaan;2008
Kruidtuinlaan;2018
Keizerslaan;2011
Koloniënstraat;2015
GFR 3 (ex-14);2012
Stokkelsesteenweg  thv kerkhof;2012
GFR 7 (ex-2);2011
Ukkel;2011
Elsene;2012
Ukkel;2015
GFR 9( ex-6);2012
GFR 10 (ex-7);2013
Van Souststraat;2012
Mechelsestraat;2012
Crocqlaan ;2012
Heilig Hartlaan;2015
Démineurs;2015
Leopold I laan;2015
GFR SZ (ex-4);2012
GFR KC (ex-5) ;2014
Veeweyde tussen Dehem en Lijstersstraat;2012
Sainctelette;2012
Brederodestraat;2012
Koninginnelaan ;2015
GFR MM (ex-11) ;2008
Graystraat en Maalbeeklaan;2012
Gutenbergsquare;2012
Rocade A;2011
tussen GFR 12 & GFR 1 en tussen GFR 5  & GFR 9;2011
Rocade B;2012
Paleizenstraat;2017
Timmermans, Vanden Corput, Berkendael;2012
Grosjean/Optimisme;2015
tussen GFR 12 & GFR 1 en tussen GFR Zenne  & GFR 9;2010
Rocade C;2012
