year;Porte d'Anvers;Porte de Schaerbeek;Carrefour Loi/Colonie/Royale;Place Stéphanie;Carrefour Rue Haute/Bd de l'Empereur;Porte de Flandre;Quai Bietsebroeck/Pont Paepsem;Place Philippe Werrie;Pont Van Praet;Gare de l'Ouest;Mérode;Ch. de Wavre/Maelbeek;Germoir/Couronne;Rue Washington/Ch. de Waterloo;Rue de la Loi;Carrefour Reyers/Cerisiers/Roodebeek;Carrefour Woluwe/Hymans/Vandervelde;Souverain/Hermann Debroux;Rond-point de l'Université;Place Albert;Rond-Point Av. du Martin Pecheur;Carrefour Dansaert/Van Artevelde;Hotel des Monnaies;Place Emile Bockstael;De Fré/ Waterloo;Louise/Bailli;"Square Emile Vandervelde 
(Anderlecht)"
1998; ;27 ; ;16 ; ; ; ; ; ; ;57 ;45 ;41 ; ; ;29 ;28 ;34 ; ; ; ; ; ; ; ; ; 
1999; ;26 ; ;31 ; ; ; ; ; ; ;57 ;47 ;34 ; ; ;42 ;35 ;20 ; ; ; ; ; ; ; ; ; 
2000; ;36 ; ;36 ; ; ; ; ; ; ;49 ;59 ;45 ; ; ;22 ;35 ;20 ; ; ; ; ; ; ; ; ; 
2001; ;40 ; ;59 ; ; ; ; ; ; ;76 ;64 ;68 ; ; ;31 ;47 ;18 ; ; ; ; ; ; ; ; ; 
2002; ;41 ; ;46 ; ; ; ; ; ; ;90 ;74 ;59 ; ; ;30 ;35 ;20 ; ; ; ; ; ; ; ; ; 
2003; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2004; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2005; ;55 ; ;44 ; ; ; ; ; ; ;170 ;88 ;78 ; ; ;75 ;40 ;32 ; ; ; ; ; ; ; ; ; 
2006; ;65 ; ;49 ; ; ; ; ; ; ;198 ;95 ;88 ; ; ;84 ;45 ;37 ; ; ; ; ; ; ; ; ; 
2007; ;67 ; ;73 ; ; ; ; ; ; ;180 ;118 ;103 ; ; ;78 ;65 ;52 ; ; ; ; ; ; ; ; ; 
2008; ;70 ; ;92 ; ; ; ; ; ; ;276 ;159 ;143 ; ; ;59 ;112 ;51 ; ; ; ; ; ; ; ; ; 
2009; ;70 ; ;88 ; ; ; ; ; ; ;219 ;130 ;91 ; ; ;136 ;93 ;45 ; ; ; ; ; ; ; ; ; 
2010; ;80 ; ;101 ; ; ; ; ; ; ;232 ;165 ;126 ; ; ;95 ;81 ;56 ; ; ; ; ; ; ; ; ; 
2011;132 ;117 ;174 ;145 ; ;148 ;56 ;38 ;58 ;15 ;244 ;183 ;187 ;60 ; ;97 ;90 ;51 ;64 ;53 ;50 ;89 ;44 ;17 ;68 ;198 ;55 
2012;145 ;69 ;212 ;179 ; ; ;47 ;45 ;86 ;17 ;257 ;243 ; ;83 ;240 ; ;91 ;60 ;99 ;101 ;43 ;115 ;121 ;7 ; ;371 ;77 
2013;88 ;101 ;125 ;127 ; ;115 ;28 ;27 ;96 ;29 ;256 ;224 ;196 ;45 ; ;70 ;103 ;37 ;60 ;42 ;39 ;99 ;37 ;12 ;38 ;144 ;50 
2014;174 ;173 ;252 ;188 ; ;240 ;90 ;20 ;103 ;26 ;418 ;254 ;312 ;83 ; ;159 ;99 ;74 ;137 ;71 ;45 ;145 ;78 ;23 ;74 ;235 ;93 
2015;193 ;159 ;278 ;183 ; ;182 ;93 ;70 ;110 ;38 ;401 ;286 ;299 ;75 ;339 ;138 ;121 ;65 ;106 ;165 ;38 ;157 ;93 ;36 ;82 ;223 ;123 
2016;173 ;212 ;197 ;77 ; ;307 ;57 ;49 ;181 ;28 ;398 ;311 ;417 ;74 ;386 ;215 ;169 ;77 ;88 ;133 ;72 ;261 ;96 ;40 ;109 ;317 ;168 
2017;188 ;233 ;249 ;255 ; ;416 ;113 ;47 ;144 ;38 ;577 ;230 ;390 ;94 ;407 ;235 ;141 ;99 ;119 ;186 ;63 ;238 ;114 ;37 ;105 ;346 ;111 
