year;Porte d'Anvers;Porte de Schaerbeek;Carrefour Loi/Colonie/Royale;Place Stéphanie;Carrefour Rue Haute/Bd de l'Empereur;Porte de Flandre;Quai Bietsebroeck/Pont Paepsem;Place Philippe Werrie;Pont Van Praet;Gare de l'Ouest;Mérode;Ch. de Wavre/Maelbeek;Germoir/Couronne;Rue Washington/Ch. de Waterloo;Rue de la Loi;Carrefour Reyers/Cerisiers/Roodebeek;Carrefour Woluwe/Hymans/Vandervelde;Souverain/Hermann Debroux;Rond-point de l'Université;Place Albert;Rond-Point Av. du Martin Pecheur;Carrefour Dansaert/Van Artevelde;Hotel des Monnaies;Place Emile Bockstael;De Fré/ Waterloo;Louise/Bailli;"Square Emile Vandervelde 
(Anderlecht)"
1998; ;33 ; ;40 ; ; ; ; ; ; ;81 ;48 ;44 ; ; ;33 ;31 ;27 ; ; ; ; ; ; ; ; ; 
1999; ;38 ; ;46 ; ; ; ; ; ; ;98 ;60 ;52 ; ; ;31 ;40 ;36 ; ; ; ; ; ; ; ; ; 
2000; ;34 ; ;52 ; ; ; ; ; ; ;105 ;71 ;81 ; ; ;50 ;64 ;33 ; ; ; ; ; ; ; ; ; 
2001; ;41 ; ;49 ; ; ; ; ; ; ;105 ;51 ;69 ; ; ;41 ;55 ;34 ; ; ; ; ; ; ; ; ; 
2002; ;37 ; ;79 ; ; ; ; ; ; ;111 ;73 ;69 ; ; ;50 ;55 ;34 ; ; ; ; ; ; ; ; ; 
2003; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2004; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2005; ;65 ; ;96 ; ; ; ; ; ; ;205 ;134 ;150 ; ; ;84 ;72 ;45 ; ; ; ; ; ; ; ; ; 
2006; ;69 ; ;93 ; ; ; ; ; ; ;268 ;153 ;174 ; ; ;84 ;97 ;56 ; ; ; ; ; ; ; ; ; 
2007; ;90 ; ;102 ; ; ; ; ; ; ;285 ;144 ;132 ; ; ;96 ;98 ;48 ; ; ; ; ; ; ; ; ; 
2008; ;63 ; ;137 ; ; ; ; ; ; ;294 ;151 ;125 ; ; ;57 ;137 ;70 ; ; ; ; ; ; ; ; ; 
2009; ;170 ; ;157 ; ; ; ; ; ; ;313 ;247 ;290 ; ; ;127 ;126 ;76 ; ; ; ; ; ; ; ; ; 
2010;145 ;153 ;116 ;190 ; ;192 ;43 ;47 ;105 ;29 ;253 ;128 ;263 ;81 ; ;68 ;61 ;61 ;46 ;48 ;59 ;70 ;27 ;14 ;78 ;180 ;81 
2011;173 ;163 ;268 ;183 ; ;359 ;93 ;66 ;112 ;26 ;368 ;253 ;242 ;86 ;343 ;157 ;125 ;68 ;136 ;192 ;58 ;128 ;171 ;26 ;79 ;546 ;92 
2012;171 ;142 ;215 ;231 ; ;252 ;102 ;46 ;145 ;36 ;511 ;185 ;152 ;109 ; ;155 ;156 ;85 ;126 ;112 ;55 ;155 ;94 ;36 ;133 ;338 ;98 
2013;182 ;158 ;240 ;185 ; ;190 ;101 ;57 ;102 ;41 ;367 ;293 ;152 ;79 ;447 ;139 ;154 ;62 ;114 ;86 ; ;141 ;85 ;25 ;98 ;259 ;129 
2014;207 ;194 ;270 ;232 ; ;201 ;119 ;77 ;167 ;44 ;472 ;293 ;353 ;92 ;492 ;147 ;176 ;121 ;139 ;58 ; ;194 ;177 ;39 ;77 ; ;134 
2015;219 ;301 ;287 ;229 ; ;278 ;115 ;67 ;264 ;44 ;632 ;357 ;436 ;93 ;550 ;271 ;200 ;126 ; ;144 ;55 ;341 ;201 ;47 ;111 ;327 ;191 
2016;207 ;289 ;256 ;291 ; ;350 ;160 ;66 ;245 ;55 ;653 ;291 ;489 ;119 ;641 ;295 ;190 ;98 ;204 ;192 ;53 ;290 ;148 ;50 ;112 ;374 ;171 
2017;251 ;296 ;355 ;443 ; ;498 ;201 ;102 ;208 ;56 ;646 ;428 ;537 ;152 ;737 ;241 ; ;135 ;234 ;146 ;89 ;352 ;149 ;55 ;103 ;321 ;164 
