year;Porte d'Anvers;Porte de Schaerbeek;Carrefour Loi/Colonie/Royale;Place Stéphanie;Carrefour Rue Haute/Bd de l'Empereur;Porte de Flandre;Quai Bietsebroeck/Pont Paepsem;Place Philippe Werrie;Pont Van Praet;Gare de l'Ouest;Mérode;Ch. de Wavre/Maelbeek;Germoir/Couronne;Rue Washington/Ch. de Waterloo;Rue de la Loi;Carrefour Reyers/Cerisiers/Roodebeek;Carrefour Woluwe/Hymans/Vandervelde;Souverain/Hermann Debroux;Rond-point de l'Université;Place Albert;Rond-Point Av. du Martin Pecheur;Carrefour Dansaert/Van Artevelde;Hotel des Monnaies;Place Emile Bockstael;De Fré/ Waterloo;Louise/Bailli;Square Emile Vandervelde
1998;48 ;48 ;75 ;77 ; ; ; ; ; ; ;137 ;75 ;67 ;27 ; ;60 ;82 ;61 ;24 ; ; ; ; ; ; ; ; 
1999;31 ;47 ;42 ;52 ; ;38 ;49 ;17 ;26 ; ;94 ;73 ;47 ;24 ; ;59 ;56 ;45 ;28 ; ; ; ; ; ; ; ; 
2000;41 ;51 ;32 ;63 ; ;26 ;21 ;17 ;24 ; ;101 ;67 ;55 ;26 ; ;70 ;59 ;48 ;29 ; ; ; ; ; ; ; ; 
2001;51 ;59 ;48 ;87 ; ;42 ;41 ;28 ;15 ; ;143 ;99 ;86 ;26 ; ;72 ;78 ;58 ;29 ; ; ; ; ; ; ; ; 
2002;53 ;57 ;58 ;64 ; ;47 ;29 ;28 ;44 ; ;150 ;89 ;72 ;30 ; ;62 ;78 ;58 ;29 ; ; ; ; ; ; ; ; 
2003;68 ;84 ;92 ;55 ; ;63 ;29 ;32 ;26 ; ;149 ;87 ;124 ;36 ; ;65 ;78 ;58 ;68 ; ; ; ; ; ; ; ; 
2004;77 ;85 ;119 ;115 ; ;53 ;48 ;42 ;50 ; ;246 ;127 ;121 ;42 ; ;56 ;117 ;61 ;87 ; ; ; ; ; ; ; ; 
2005;99 ;94 ;128 ;122 ;48 ;97 ;62 ;51 ;39 ;11 ;301 ;114 ;148 ;45 ;228 ;118 ;117 ;55 ;75 ;39 ; ; ; ; ; ; ; 
2006;88 ;118 ;159 ;137 ;44 ;121 ;53 ;53 ;38 ;9 ;243 ;164 ;108 ;38 ;198 ;118 ;101 ;37 ;59 ;42 ; ; ; ; ; ; ; 
2007;107 ;110 ;181 ;132 ;71 ;100 ;36 ;48 ;73 ;10 ;347 ;133 ;197 ;58 ;335 ;99 ;168 ;84 ;108 ;66 ; ; ; ; ; ; ; 
2008;125 ;128 ;212 ;138 ;60 ;148 ;85 ;47 ;84 ;25 ;221 ;139 ;244 ;93 ;421 ;183 ;206 ;71 ;69 ;63 ; ; ; ; ; ; ; 
2009;135 ;137 ;185 ;127 ;82 ;149 ;43 ;39 ;88 ;20 ;284 ;247 ;262 ;66 ;376 ;150 ;192 ;77 ;99 ;157 ; ; ; ; ; ; ; 
2010;146 ;217 ;230 ;203 ; ;210 ;87 ;50 ;203 ;36 ;389 ;201 ;335 ;64 ; ;242 ;204 ;78 ;124 ;94 ;58 ;176 ; ;28 ;77 ; ;64 
2011;203 ;225 ;216 ;217 ; ;265 ;124 ;67 ;148 ;28 ;519 ;256 ;379 ;101 ;367 ;178 ;174 ;114 ;87 ;77 ;70 ;143 ;68 ;39 ;136 ;324 ;105 
2012;203 ;187 ;278 ;249 ; ;362 ;153 ;65 ;171 ;55 ;401 ;314 ;348 ;115 ;297 ; ;192 ;72 ;132 ;120 ;71 ;163 ;101 ;24 ;86 ;454 ;103 
2013;217 ;116 ;291 ;222 ; ;256 ;145 ;47 ;122 ;31 ;528 ;235 ;176 ;60 ;517 ;180 ;173 ;100 ;100 ;76 ;39 ;155 ;92 ;42 ;109 ;301 ;138 
2014;193 ;235 ;285 ;327 ; ;304 ;138 ;60 ;260 ;51 ;617 ;327 ;408 ;121 ;707 ;277 ;229 ;114 ;134 ; ;64 ;190 ;127 ;31 ; ; ;154 
2015;253 ;244 ;221 ;279 ; ;162 ;165 ;80 ;228 ;51 ;647 ;343 ;429 ;115 ;563 ;179 ;209 ;147 ;156 ;226 ;86 ;227 ;138 ;44 ;141 ;277 ;174 
2016;273 ;344 ;431 ;362 ; ;665 ;198 ;129 ;261 ;55 ;937 ;418 ;578 ;151 ;835 ;346 ;213 ;281 ;275 ;161 ;109 ;404 ;177 ;104 ;159 ;471 ;323 
2017;269 ;379 ;419 ;340 ; ;628 ;256 ;145 ;287 ;59 ;843 ;382 ;628 ;169 ;827 ;328 ;239 ;185 ;251 ;158 ;110 ;463 ;209 ;87 ; ;466 ;262 
