year;Porte d'Anvers;Porte de Schaerbeek;Carrefour Loi/Colonie/Royale;Place Stéphanie;Carrefour Rue Haute/Bd de l'Empereur;Porte de Flandre;Quai Bietsebroeck/Pont Paepsem;Place Philippe Werrie;Pont Van Praet;Gare de l'Ouest;Mérode;Ch. de Wavre/Maelbeek;Germoir/Couronne;Rue Washington/Ch. de Waterloo;Rue de la Loi;Carrefour Reyers/Cerisiers/Roodebeek;Carrefour Woluwe/Hymans/Vandervelde;Souverain/Hermann Debroux;Rond-point de l'Université;Place Albert;Rond-Point Av. du Martin Pecheur;Carrefour Dansaert/Van Artevelde;Hotel des Monnaies;Place Emile Bockstael;De Fré/ Waterloo;Louise/Bailli;Square Emile Vandervelde
1998;46 ;52 ;31 ;47 ; ; ;28 ;28 ;16 ; ;115 ;63 ;61 ;19 ; ;44 ;71 ;42 ;44 ; ; ; ; ; ; ; ; 
1999;53 ;49 ;51 ;51 ; ;29 ;49 ;26 ;16 ; ;88 ;72 ;87 ;25 ; ;33 ;71 ;55 ;47 ; ; ; ; ; ; ; ; 
2000;57 ;69 ;51 ;58 ; ;59 ;22 ;28 ;16 ; ;103 ;95 ;68 ;26 ; ;45 ;99 ;47 ;29 ; ; ; ; ; ; ; ; 
2001;45 ;77 ;40 ;60 ; ;30 ;15 ;20 ;27 ; ;143 ;87 ;61 ;29 ; ;35 ;66 ;40 ;29 ; ; ; ; ; ; ; ; 
2002;33 ;71 ;85 ;109 ; ;30 ;17 ;15 ;55 ; ;114 ;119 ;86 ;36 ; ;69 ;61 ;29 ;92 ; ; ; ; ; ; ; ; 
2003;80 ;101 ;109 ;105 ; ;65 ;49 ;35 ;55 ; ;209 ;156 ;123 ;41 ; ;69 ;117 ;58 ;86 ; ; ; ; ; ; ; ; 
2004;71 ;86 ;105 ;133 ; ;55 ;45 ;41 ;51 ; ;190 ;125 ;148 ;46 ; ;98 ;110 ;52 ;57 ; ; ; ; ; ; ; ; 
2005;104 ;102 ;120 ;186 ;74 ;102 ;61 ;55 ;35 ;11 ;330 ;147 ;142 ;66 ;328 ;136 ;144 ;63 ;111 ;59 ; ; ; ; ; ; ; 
2006;102 ;106 ;167 ;172 ;62 ;71 ;64 ;47 ;52 ;12 ;356 ;130 ;162 ;56 ;329 ;102 ;150 ;81 ;88 ;56 ; ; ; ; ; ; ; 
2007;91 ;104 ;167 ;138 ;39 ;132 ;67 ;70 ;39 ;25 ;321 ;171 ;179 ;73 ;322 ;109 ;163 ;48 ;80 ;57 ; ; ; ; ; ; ; 
2008;151 ;111 ;213 ;183 ;56 ;143 ;95 ;53 ;98 ;33 ;460 ;232 ;227 ;81 ;406 ;174 ;167 ;72 ;106 ;71 ; ; ; ; ; ; ; 
2009;172 ;206 ;256 ;195 ;108 ;190 ;98 ;57 ;110 ;22 ;431 ;279 ;229 ;73 ;566 ;184 ;168 ;118 ;86 ;69 ; ; ; ; ; ; ; 
2010;145 ;178 ;269 ;187 ; ;226 ;108 ;68 ;138 ;35 ;453 ;278 ;275 ;92 ; ;144 ;215 ;92 ;118 ;68 ;75 ;169 ;54 ;34 ;91 ;309 ;110 
2011;235 ;202 ;185 ;215 ; ;377 ;94 ;57 ;180 ;27 ;571 ;255 ;304 ;114 ;467 ;106 ;199 ;102 ;127 ;115 ;62 ;148 ;74 ;46 ;128 ;313 ;118 
2012;243 ;220 ;267 ;285 ; ;243 ;114 ;57 ;175 ;43 ;455 ;285 ;354 ;127 ;342 ;176 ;162 ;85 ;133 ;133 ;67 ;179 ;114 ;35 ;171 ;653 ;112 
2013;189 ;229 ;362 ;323 ; ;163 ;153 ;87 ;241 ;45 ;594 ;362 ;348 ;117 ;538 ;185 ;229 ;164 ;148 ;117 ;60 ;245 ;139 ;54 ;78 ;396 ;143 
2014;208 ;307 ;331 ;219 ; ;278 ;154 ;90 ;202 ;46 ;681 ;379 ;488 ;139 ;675 ;289 ;238 ;152 ;191 ;179 ;105 ;226 ;146 ; ;160 ;356 ;175 
2015;260 ;298 ;301 ;269 ; ;421 ;114 ;103 ;273 ;40 ;762 ;378 ;419 ;111 ;536 ;247 ;207 ;113 ;173 ;133 ;65 ;284 ;131 ;60 ;88 ;378 ;162 
2016;307 ;386 ;484 ;361 ; ;712 ;265 ;142 ;520 ;58 ;1053 ;350 ;734 ;167 ;907 ;305 ;290 ;144 ;220 ;210 ;108 ;574 ;184 ;106 ;195 ;509 ;300 
2017;271 ;462 ;439 ;349 ; ;659 ;247 ;112 ;243 ;48 ;685 ;397 ;648 ;166 ;761 ;214 ; ;133 ;202 ;191 ;94 ;436 ;159 ;68 ; ;368 ;338 
